invoice_id,service_id,billing_month,invoice_date,plan_charge_aud,excess_usage_aud,discount_aud,total_amount_aud,payment_status,days_late
88,8,2024-09-01,2024-09-05,59.0,0.0,11.49,47.51,Paid,8
89,8,2024-10-01,2024-10-05,59.0,0.0,2.96,56.04,Late,3
90,8,2024-11-01,2024-11-05,59.0,10.48,9.2,60.28,Paid,0
91,8,2024-12-01,2024-12-05,59.0,0.0,3.62,55.38,Paid,0
92,8,2025-01-01,2025-01-05,59.0,10.06,12.8,56.26,Paid,8
93,8,2025-02-01,2025-02-05,59.0,0.0,4.29,54.71,Paid,31
94,8,2025-03-01,2025-03-05,59.0,0.0,4.59,54.41,Paid,3
95,9,2024-04-01,2024-04-05,39.0,0.0,0.65,38.35,Paid,31
96,9,2024-05-01,2024-05-05,39.0,7.18,0.86,45.32,Paid,0
97,9,2024-06-01,2024-06-05,39.0,11.64,4.99,45.65,Paid,0
98,9,2024-07-01,2024-07-05,39.0,0.0,1.3,37.7,Paid,3
99,9,2024-08-01,2024-08-05,39.0,3.98,7.37,35.61,Paid,0
100,9,2024-09-01,2024-09-05,39.0,2.87,1.74,40.13,Paid,0
101,9,2024-10-01,2024-10-05,39.0,4.98,1.96,42.02,Paid,17
102,9,2024-11-01,2024-11-05,39.0,3.72,6.08,36.64,Paid,0
103,9,2024-12-01,2024-12-05,39.0,3.46,2.39,40.07,Late,3
104,9,2025-01-01,2025-01-05,39.0,0.0,2.61,36.39,Paid,0
105,9,2025-02-01,2025-02-05,39.0,2.94,2.84,39.1,Paid,3
106,9,2025-03-01,2025-03-05,39.0,0.0,6.94,32.06,Paid,31
107,9,2025-04-01,2025-04-05,39.0,0.0,3.26,35.74,Paid,17
108,9,2025-05-01,2025-05-05,39.0,0.0,3.47,35.53,Paid,17
109,9,2025-06-01,2025-06-05,39.0,0.0,3.69,35.31,Late,0
110,11,2024-01-01,2024-01-05,39.0,1.4,5.85,34.55,Paid,17
111,11,2024-02-01,2024-02-05,39.0,7.39,0.22,46.17,Paid,31
112,11,2024-03-01,2024-03-05,39.0,8.44,4.33,43.11,Paid,8
113,11,2024-04-01,2024-04-05,39.0,0.0,4.55,34.45,Paid,0
114,11,2024-05-01,2024-05-05,39.0,4.75,6.71,37.04,Paid,0
115,11,2024-06-01,2024-06-05,39.0,4.8,6.94,36.86,Paid,17
116,11,2024-07-01,2024-07-05,39.0,0.0,1.3,37.7,Paid,0
117,11,2024-08-01,2024-08-05,39.0,0.0,1.52,37.48,Paid,17
118,11,2024-09-01,2024-09-05,39.0,3.06,7.59,34.47,Paid,31
119,11,2024-10-01,2024-10-05,39.0,10.91,1.96,47.95,Paid,8
120,11,2024-11-01,2024-11-05,39.0,7.18,6.08,40.1,Paid,0
121,11,2024-12-01,2024-12-05,39.0,4.56,2.39,41.17,Paid,3
122,11,2025-01-01,2025-01-05,39.0,4.84,2.61,41.23,Paid,3
123,11,2025-02-01,2025-02-05,39.0,0.0,2.84,36.16,Paid,0
124,11,2025-03-01,2025-03-05,39.0,10.57,3.04,46.53,Paid,3
125,11,2025-04-01,2025-04-05,39.0,0.0,9.11,29.89,Paid,17
126,11,2025-05-01,2025-05-05,39.0,0.0,3.47,35.53,Paid,3
127,11,2025-06-01,2025-06-05,39.0,1.19,7.59,32.6,Paid,31
128,15,2024-01-01,2024-01-05,59.0,0.0,0.0,59.0,Paid,8
129,15,2024-02-01,2024-02-05,59.0,9.15,6.23,61.92,Paid,0
130,15,2024-03-01,2024-03-05,59.0,0.0,0.65,58.35,Paid,3
131,15,2024-04-01,2024-04-05,59.0,5.39,0.98,63.41,Unpaid,3
132,15,2024-05-01,2024-05-05,59.0,0.0,10.16,48.84,Unpaid,0
133,15,2024-06-01,2024-06-05,59.0,0.0,7.54,51.46,Late,3
134,15,2024-07-01,2024-07-05,59.0,1.9,1.97,58.93,Paid,8
135,15,2024-08-01,2024-08-05,59.0,0.0,8.2,50.8,Paid,3
136,15,2024-09-01,2024-09-05,59.0,6.21,8.54,56.67,Paid,0
137,15,2024-10-01,2024-10-05,59.0,2.58,2.96,58.62,Paid,8
138,15,2024-11-01,2024-11-05,59.0,4.75,3.3,60.45,Paid,0
139,15,2024-12-01,2024-12-05,59.0,14.58,3.62,69.96,Paid,17
140,15,2025-01-01,2025-01-05,59.0,0.0,3.95,55.05,Paid,8
141,15,2025-02-01,2025-02-05,59.0,0.0,13.14,45.86,Paid,31
142,15,2025-03-01,2025-03-05,59.0,0.0,4.59,54.41,Paid,31
143,15,2025-04-01,2025-04-05,59.0,0.0,4.93,54.07,Paid,0
144,15,2025-05-01,2025-05-05,59.0,1.01,5.25,54.76,Late,3
145,15,2025-06-01,2025-06-05,59.0,0.0,5.59,53.41,Paid,8
146,17,2024-01-01,2024-01-05,59.0,0.0,0.0,59.0,Paid,3
147,17,2024-02-01,2024-02-05,59.0,0.0,0.33,58.67,Paid,31
148,17,2024-03-01,2024-03-05,59.0,0.0,0.65,58.35,Paid,31
149,17,2024-04-01,2024-04-05,59.0,0.0,9.83,49.17,Paid,17
150,17,2024-05-01,2024-05-05,59.0,0.15,7.21,51.94,Paid,0
151,17,2024-06-01,2024-06-05,59.0,0.0,7.54,51.46,Late,0
152,17,2024-07-01,2024-07-05,59.0,6.19,1.97,63.22,Paid,31
153,17,2024-08-01,2024-08-05,59.0,4.41,8.2,55.21,Paid,3
154,19,2025-01-01,2025-01-05,39.0,0.0,2.61,36.39,Paid,3
155,19,2025-02-01,2025-02-05,39.0,0.0,2.84,36.16,Paid,31
156,19,2025-03-01,2025-03-05,39.0,10.27,3.04,46.23,Paid,31
157,19,2025-04-01,2025-04-05,39.0,0.0,7.16,31.84,Paid,0
158,19,2025-05-01,2025-05-05,39.0,0.0,7.37,31.63,Paid,8
159,19,2025-06-01,2025-06-05,39.0,0.0,3.69,35.31,Paid,17
160,20,2024-01-01,2024-01-05,79.0,0.0,11.85,67.15,Paid,0
161,20,2024-02-01,2024-02-05,79.0,0.0,0.45,78.55,Paid,3
162,20,2024-03-01,2024-03-05,79.0,0.0,8.77,70.23,Paid,3
163,20,2024-04-01,2024-04-05,79.0,4.88,1.32,82.56,Paid,3
164,20,2024-05-01,2024-05-05,79.0,0.0,1.75,77.25,Late,17
165,20,2024-06-01,2024-06-05,79.0,4.79,2.2,81.59,Paid,31
166,20,2024-07-01,2024-07-05,79.0,0.0,10.53,68.47,Paid,0
167,20,2024-08-01,2024-08-05,79.0,7.08,14.93,71.15,Paid,8
168,20,2024-09-01,2024-09-05,79.0,10.7,15.38,74.32,Paid,31
169,20,2024-10-01,2024-10-05,79.0,5.38,3.96,80.42,Paid,0
170,20,2024-11-01,2024-11-05,79.0,0.0,4.41,74.59,Paid,0
171,20,2024-12-01,2024-12-05,79.0,13.49,4.85,87.64,Paid,0
172,20,2025-01-01,2025-01-05,79.0,13.07,13.2,78.87,Paid,8
173,20,2025-02-01,2025-02-05,79.0,0.0,5.74,73.26,Paid,0
174,20,2025-03-01,2025-03-05,79.0,0.27,18.0,61.27,Paid,0
175,20,2025-04-01,2025-04-05,79.0,4.45,18.45,65.0,Paid,17
176,21,2024-01-01,2024-01-05,79.0,7.41,0.0,86.41,Paid,0
177,21,2024-02-01,2024-02-05,79.0,10.85,0.45,89.4,Paid,31
178,21,2024-03-01,2024-03-05,79.0,0.0,0.87,78.13,Paid,0
179,21,2024-04-01,2024-04-05,79.0,0.0,1.32,77.68,Paid,8
180,21,2024-05-01,2024-05-05,79.0,3.69,1.75,80.94,Paid,0
181,21,2024-06-01,2024-06-05,79.0,0.0,2.2,76.8,Paid,31
182,22,2024-01-01,2024-01-05,39.0,0.0,3.9,35.1,Paid,0
183,22,2024-02-01,2024-02-05,39.0,0.0,0.22,38.78,Paid,0
184,22,2024-03-01,2024-03-05,39.0,0.0,6.28,32.72,Paid,0
185,22,2024-04-01,2024-04-05,39.0,10.07,0.65,48.42,Paid,0
186,22,2024-05-01,2024-05-05,39.0,0.0,0.86,38.14,Paid,31
187,22,2024-06-01,2024-06-05,39.0,9.86,4.99,43.87,Paid,0
188,22,2024-07-01,2024-07-05,39.0,0.0,1.3,37.7,Paid,8
189,22,2024-08-01,2024-08-05,39.0,1.59,1.52,39.07,Paid,17
190,22,2024-09-01,2024-09-05,39.0,0.0,1.74,37.26,Paid,17
191,22,2024-10-01,2024-10-05,39.0,0.0,1.96,37.04,Paid,0
192,22,2024-11-01,2024-11-05,39.0,0.23,8.03,31.2,Paid,31
193,22,2024-12-01,2024-12-05,39.0,3.29,8.24,34.05,Paid,31
194,22,2025-01-01,2025-01-05,39.0,0.0,2.61,36.39,Paid,17
195,22,2025-02-01,2025-02-05,39.0,4.83,8.69,35.14,Paid,0
196,22,2025-03-01,2025-03-05,39.0,8.68,3.04,44.64,Paid,8
197,22,2025-04-01,2025-04-05,39.0,8.81,7.16,40.65,Unpaid,0
198,22,2025-05-01,2025-05-05,39.0,0.0,3.47,35.53,Unpaid,31
199,22,2025-06-01,2025-06-05,39.0,0.0,9.54,29.46,Paid,3
200,23,2025-01-01,2025-01-05,79.0,0.0,17.15,61.85,Late,0
201,23,2025-02-01,2025-02-05,79.0,0.0,5.74,73.26,Paid,0
202,23,2025-03-01,2025-03-05,79.0,1.28,6.15,74.13,Paid,8
203,23,2025-04-01,2025-04-05,79.0,8.03,14.5,72.53,Paid,3
204,23,2025-05-01,2025-05-05,79.0,2.89,18.88,63.01,Paid,0
205,23,2025-06-01,2025-06-05,79.0,0.0,19.33,59.67,Paid,0
206,26,2024-05-01,2024-05-05,49.0,14.24,1.09,62.15,Paid,17
207,26,2024-06-01,2024-06-05,49.0,0.0,8.71,40.29,Paid,0
208,26,2024-07-01,2024-07-05,49.0,0.0,1.63,47.37,Paid,0
209,26,2024-08-01,2024-08-05,49.0,4.63,6.81,46.82,Paid,3
210,26,2024-09-01,2024-09-05,49.0,0.0,9.54,39.46,Paid,17
211,26,2024-10-01,2024-10-05,49.0,3.07,9.81,42.26,Paid,0
212,26,2024-11-01,2024-11-05,49.0,0.0,7.64,41.36,Paid,3
213,26,2024-12-01,2024-12-05,49.0,0.0,10.36,38.64,Paid,0
214,26,2025-01-01,2025-01-05,49.0,1.69,3.28,47.41,Paid,0
215,26,2025-02-01,2025-02-05,49.0,0.0,3.56,45.44,Paid,8
216,26,2025-03-01,2025-03-05,49.0,5.93,11.16,43.77,Paid,0
217,26,2025-04-01,2025-04-05,49.0,10.55,4.09,55.46,Paid,8
218,27,2024-07-01,2024-07-05,59.0,2.8,1.97,59.83,Paid,0
219,27,2024-08-01,2024-08-05,59.0,0.0,8.2,50.8,Paid,0
220,27,2024-09-01,2024-09-05,59.0,3.47,2.64,59.83,Paid,0
221,27,2024-10-01,2024-10-05,59.0,7.77,2.96,63.81,Paid,0
222,27,2024-11-01,2024-11-05,59.0,3.16,12.15,50.01,Paid,8
223,27,2024-12-01,2024-12-05,59.0,8.62,3.62,64.0,Paid,0
224,27,2025-01-01,2025-01-05,59.0,0.0,12.8,46.2,Paid,0
225,27,2025-02-01,2025-02-05,59.0,2.12,10.19,50.93,Paid,8
226,27,2025-03-01,2025-03-05,59.0,0.0,4.59,54.41,Paid,0
227,27,2025-04-01,2025-04-05,59.0,6.86,4.93,60.93,Paid,0
228,27,2025-05-01,2025-05-05,59.0,4.32,11.15,52.17,Paid,0
229,27,2025-06-01,2025-06-05,59.0,4.03,5.59,57.44,Paid,0
230,29,2024-01-01,2024-01-05,59.0,0.0,0.0,59.0,Paid,0
231,29,2024-02-01,2024-02-05,59.0,0.97,0.33,59.64,Paid,0
232,29,2024-03-01,2024-03-05,59.0,0.0,0.65,58.35,Paid,0
233,29,2024-04-01,2024-04-05,59.0,7.49,6.88,59.61,Paid,8
234,29,2024-05-01,2024-05-05,59.0,6.88,7.21,58.67,Late,0
235,29,2024-06-01,2024-06-05,59.0,0.0,10.49,48.51,Paid,0
236,29,2024-07-01,2024-07-05,59.0,9.98,7.87,61.11,Late,8
237,29,2024-08-01,2024-08-05,59.0,9.91,2.3,66.61,Paid,17
238,29,2024-09-01,2024-09-05,59.0,6.46,2.64,62.82,Paid,0
239,29,2024-10-01,2024-10-05,59.0,3.83,2.96,59.87,Paid,31
240,29,2024-11-01,2024-11-05,59.0,4.8,3.3,60.5,Paid,3
241,29,2024-12-01,2024-12-05,59.0,0.16,3.62,55.54,Unpaid,3
242,29,2025-01-01,2025-01-05,59.0,0.0,3.95,55.05,Paid,8
243,29,2025-02-01,2025-02-05,59.0,0.0,4.29,54.71,Late,0
244,29,2025-03-01,2025-03-05,59.0,0.0,4.59,54.41,Paid,3
245,29,2025-04-01,2025-04-05,59.0,0.0,4.93,54.07,Paid,3
246,29,2025-05-01,2025-05-05,59.0,0.0,14.1,44.9,Late,0
247,29,2025-06-01,2025-06-05,59.0,4.87,11.49,52.38,Paid,0
248,30,2024-01-01,2024-01-05,59.0,5.8,5.9,58.9,Paid,0
249,30,2024-02-01,2024-02-05,59.0,0.0,9.18,49.82,Paid,0
250,30,2024-03-01,2024-03-05,59.0,0.0,6.55,52.45,Paid,0
251,30,2024-04-01,2024-04-05,59.0,0.0,9.83,49.17,Paid,31
252,30,2024-05-01,2024-05-05,59.0,3.72,1.31,61.41,Paid,8
253,30,2024-06-01,2024-06-05,59.0,0.0,1.64,57.36,Unpaid,3
254,30,2024-07-01,2024-07-05,59.0,0.0,7.87,51.13,Late,0
255,30,2024-08-01,2024-08-05,59.0,9.49,2.3,66.19,Paid,17
256,30,2024-09-01,2024-09-05,59.0,2.06,8.54,52.52,Paid,0
257,30,2024-10-01,2024-10-05,59.0,1.2,2.96,57.24,Paid,3
258,30,2024-11-01,2024-11-05,59.0,3.29,12.15,50.14,Paid,0
259,30,2024-12-01,2024-12-05,59.0,5.41,3.62,60.79,Paid,3
260,30,2025-01-01,2025-01-05,59.0,10.58,12.8,56.78,Late,17
261,30,2025-02-01,2025-02-05,59.0,0.0,13.14,45.86,Late,8
262,30,2025-03-01,2025-03-05,59.0,0.0,4.59,54.41,Paid,0
263,30,2025-04-01,2025-04-05,59.0,0.44,4.93,54.51,Late,17
264,30,2025-05-01,2025-05-05,59.0,1.52,5.25,55.27,Paid,0
265,30,2025-06-01,2025-06-05,59.0,0.0,5.59,53.41,Paid,3
266,31,2024-01-01,2024-01-05,79.0,0.0,7.9,71.1,Paid,0
267,31,2024-02-01,2024-02-05,79.0,8.83,0.45,87.38,Paid,31
268,31,2024-03-01,2024-03-05,79.0,2.05,0.87,80.18,Paid,0
269,31,2024-04-01,2024-04-05,79.0,0.0,1.32,77.68,Paid,0
270,31,2024-05-01,2024-05-05,79.0,0.0,1.75,77.25,Paid,0
271,31,2024-06-01,2024-06-05,79.0,0.0,14.05,64.95,Paid,3
272,31,2024-07-01,2024-07-05,79.0,0.0,2.63,76.37,Paid,0
273,31,2024-08-01,2024-08-05,79.0,0.0,14.93,64.07,Paid,0
274,31,2024-09-01,2024-09-05,79.0,3.75,3.53,79.22,Late,0
275,32,2024-01-01,2024-01-05,79.0,10.17,11.85,77.32,Paid,0
276,32,2024-02-01,2024-02-05,79.0,6.85,0.45,85.4,Paid,0
277,32,2024-03-01,2024-03-05,79.0,0.0,0.87,78.13,Unpaid,0
278,32,2024-04-01,2024-04-05,79.0,6.06,1.32,83.74,Paid,3
279,32,2024-05-01,2024-05-05,79.0,12.87,1.75,90.12,Paid,0
280,32,2024-06-01,2024-06-05,79.0,4.39,2.2,81.19,Paid,3
281,32,2024-07-01,2024-07-05,79.0,0.0,2.63,76.37,Paid,0
282,32,2024-08-01,2024-08-05,79.0,0.0,10.98,68.02,Paid,31
283,32,2024-09-01,2024-09-05,79.0,1.54,3.53,77.01,Late,3
284,32,2024-10-01,2024-10-05,79.0,0.0,3.96,75.04,Paid,0
285,32,2024-11-01,2024-11-05,79.0,0.0,12.31,66.69,Paid,0
286,32,2024-12-01,2024-12-05,79.0,0.0,4.85,74.15,Paid,0
287,32,2025-01-01,2025-01-05,79.0,0.0,5.3,73.7,Paid,3
288,32,2025-02-01,2025-02-05,79.0,0.0,5.74,73.26,Paid,0
289,32,2025-03-01,2025-03-05,79.0,0.0,6.15,72.85,Paid,8
290,32,2025-04-01,2025-04-05,79.0,3.36,6.6,75.76,Paid,3
291,32,2025-05-01,2025-05-05,79.0,0.0,18.88,60.12,Paid,0
292,32,2025-06-01,2025-06-05,79.0,0.0,19.33,59.67,Paid,0
293,33,2024-01-01,2024-01-05,79.0,9.86,7.9,80.96,Paid,3
294,33,2024-02-01,2024-02-05,79.0,0.0,12.3,66.7,Late,0
295,33,2024-03-01,2024-03-05,79.0,8.4,0.87,86.53,Paid,3
296,33,2024-04-01,2024-04-05,79.0,0.0,13.17,65.83,Paid,8
297,33,2024-05-01,2024-05-05,79.0,5.74,9.65,75.09,Paid,0
298,33,2024-06-01,2024-06-05,79.0,2.6,2.2,79.4,Paid,17
299,33,2024-07-01,2024-07-05,79.0,0.0,2.63,76.37,Paid,0
300,33,2024-08-01,2024-08-05,79.0,0.0,3.08,75.92,Paid,31
301,33,2024-09-01,2024-09-05,79.0,6.55,3.53,82.02,Paid,17
302,33,2024-10-01,2024-10-05,79.0,4.47,15.81,67.66,Late,0
303,33,2024-11-01,2024-11-05,79.0,2.55,16.26,65.29,Paid,17
304,33,2024-12-01,2024-12-05,79.0,0.0,12.75,66.25,Paid,31
305,33,2025-01-01,2025-01-05,79.0,3.55,17.15,65.4,Paid,8
306,33,2025-02-01,2025-02-05,79.0,0.0,17.59,61.41,Paid,8
307,33,2025-03-01,2025-03-05,79.0,0.0,6.15,72.85,Paid,3
308,33,2025-04-01,2025-04-05,79.0,2.58,18.45,63.13,Late,0
309,33,2025-05-01,2025-05-05,79.0,0.0,7.03,71.97,Paid,3
310,33,2025-06-01,2025-06-05,79.0,0.53,7.48,72.05,Paid,0
311,36,2024-01-01,2024-01-05,49.0,0.0,0.0,49.0,Paid,0
312,36,2024-02-01,2024-02-05,49.0,0.0,0.28,48.72,Paid,31
313,36,2024-03-01,2024-03-05,49.0,0.0,7.89,41.11,Late,0
314,36,2024-04-01,2024-04-05,49.0,0.0,8.17,40.83,Late,31
315,36,2024-05-01,2024-05-05,49.0,0.0,1.09,47.91,Paid,0
316,36,2024-06-01,2024-06-05,49.0,0.0,1.36,47.64,Paid,8
317,36,2024-07-01,2024-07-05,49.0,2.89,1.63,50.26,Paid,31
318,36,2024-08-01,2024-08-05,49.0,1.52,1.91,48.61,Late,3
319,36,2024-09-01,2024-09-05,49.0,0.0,2.19,46.81,Paid,3
320,36,2024-10-01,2024-10-05,49.0,0.0,2.46,46.54,Paid,0
321,36,2024-11-01,2024-11-05,49.0,9.24,10.09,48.15,Paid,0
322,36,2024-12-01,2024-12-05,49.0,10.39,3.01,56.38,Paid,0
323,36,2025-01-01,2025-01-05,49.0,0.0,10.63,38.37,Paid,3
324,36,2025-02-01,2025-02-05,49.0,0.0,10.91,38.09,Paid,8
325,36,2025-03-01,2025-03-05,49.0,0.0,8.71,40.29,Paid,0
326,36,2025-04-01,2025-04-05,49.0,3.02,4.09,47.93,Paid,31
327,36,2025-05-01,2025-05-05,49.0,0.0,4.36,44.64,Paid,8
328,36,2025-06-01,2025-06-05,49.0,10.58,9.54,50.04,Late,0
329,38,2024-01-01,2024-01-05,39.0,6.85,5.85,40.0,Paid,0
330,38,2024-02-01,2024-02-05,39.0,0.56,0.22,39.34,Paid,17
331,38,2024-03-01,2024-03-05,39.0,6.76,0.43,45.33,Paid,0
332,38,2024-04-01,2024-04-05,39.0,0.45,0.65,38.8,Paid,0
333,38,2024-05-01,2024-05-05,39.0,5.12,0.86,43.26,Paid,8
334,38,2024-06-01,2024-06-05,39.0,1.76,1.09,39.67,Paid,3
335,38,2024-07-01,2024-07-05,39.0,0.85,1.3,38.55,Paid,0
336,38,2024-08-01,2024-08-05,39.0,0.0,7.37,31.63,Paid,31
337,38,2024-09-01,2024-09-05,39.0,12.95,7.59,44.36,Paid,17
338,38,2024-10-01,2024-10-05,39.0,0.0,5.86,33.14,Paid,8
339,38,2024-11-01,2024-11-05,39.0,2.85,2.18,39.67,Paid,31
340,38,2024-12-01,2024-12-05,39.0,0.0,2.39,36.61,Paid,8
341,38,2025-01-01,2025-01-05,39.0,0.0,2.61,36.39,Late,0
342,38,2025-02-01,2025-02-05,39.0,3.18,2.84,39.34,Paid,0
343,38,2025-03-01,2025-03-05,39.0,0.0,3.04,35.96,Unpaid,17
344,38,2025-04-01,2025-04-05,39.0,0.0,3.26,35.74,Paid,0
345,38,2025-05-01,2025-05-05,39.0,3.37,3.47,38.9,Paid,31
346,38,2025-06-01,2025-06-05,39.0,1.05,3.69,36.36,Paid,3
347,39,2024-01-01,2024-01-05,59.0,0.0,0.0,59.0,Paid,8
