usage_id,service_id,usage_month,data_gb,voice_minutes,sms_count,roaming_gb,days_active
84,6,2024-05-01,28.32,278,91,0.0,30
85,6,2024-06-01,24.16,235,84,0.4,26
86,6,2024-07-01,15.74,252,57,0.0,30
87,6,2024-08-01,41.33,72,62,1.2,26
88,6,2024-09-01,24.08,250,96,0.0,25
89,6,2024-10-01,44.4,169,75,0.0,24
90,6,2024-11-01,20.07,161,61,0.0,25
91,6,2024-12-01,19.97,106,0,0.0,9
92,6,2025-01-01,8.76,28,16,0.0,7
93,7,2024-01-01,34.44,161,83,0.0,24
94,7,2024-02-01,21.06,203,75,0.0,25
95,7,2024-03-01,30.98,134,8,1.2,26
96,7,2024-04-01,34.09,210,39,0.0,27
97,7,2024-05-01,34.03,224,57,0.0,30
98,7,2024-06-01,35.53,137,46,0.4,26
99,7,2024-07-01,16.22,261,0,0.0,22
100,7,2024-08-01,37.42,88,52,0.0,30
101,7,2024-09-01,17.52,53,19,0.0,26
102,7,2024-10-01,37.38,234,36,0.4,22
103,7,2024-11-01,31.3,117,64,0.0,28
104,7,2024-12-01,40.82,90,35,0.0,27
105,7,2025-01-01,20.42,186,28,1.2,30
106,7,2025-02-01,35.34,249,24,1.2,30
107,7,2025-03-01,23.76,205,51,0.0,29
108,7,2025-04-01,40.34,188,0,0.0,30
109,7,2025-05-01,23.26,67,48,0.4,19
110,7,2025-06-01,34.67,62,23,0.4,23
111,8,2024-01-01,82.15,203,28,0.4,30
112,8,2024-02-01,15.45,259,46,0.4,30
113,8,2024-03-01,55.41,268,88,0.4,28
114,8,2024-04-01,35.03,94,51,1.2,25
115,8,2024-05-01,2.48,64,7,0.0,28
116,8,2024-06-01,55.77,333,28,0.0,21
117,8,2024-07-01,72.64,279,36,0.0,28
118,8,2024-08-01,25.38,133,48,0.0,28
119,8,2024-09-01,35.72,179,82,0.0,26
120,8,2024-10-01,41.5,279,0,0.0,30
121,8,2024-11-01,48.76,77,51,0.0,30
122,8,2024-12-01,63.15,256,0,0.0,24
123,8,2025-01-01,39.15,88,45,0.0,20
124,8,2025-02-01,23.35,168,7,0.6,13
125,8,2025-03-01,12.93,93,13,0.0,6
126,9,2024-04-01,8.99,258,3,0.0,29
127,9,2024-05-01,11.32,195,11,0.0,28
128,9,2024-06-01,10.68,236,66,0.0,23
129,9,2024-07-01,15.89,81,23,0.0,26
130,9,2024-08-01,13.97,199,38,0.0,24
131,9,2024-09-01,11.02,115,31,0.0,27
132,9,2024-10-01,8.34,74,10,0.0,28
133,9,2024-11-01,13.06,229,48,1.2,26
134,9,2024-12-01,11.58,107,0,0.0,24
135,9,2025-01-01,5.53,109,32,0.0,30
136,9,2025-02-01,5.93,295,21,0.0,25
137,9,2025-03-01,10.89,194,55,0.0,30
138,9,2025-04-01,11.84,69,79,0.4,30
139,9,2025-05-01,17.05,263,52,1.2,27
140,9,2025-06-01,6.21,200,0,0.0,30
141,10,2024-10-01,2.02,125,84,1.2,30
142,10,2024-11-01,1.61,57,70,0.4,24
143,10,2024-12-01,1.45,110,44,0.0,28
144,10,2025-01-01,1.8,349,19,0.0,28
145,10,2025-02-01,2.14,167,46,0.3,20
146,10,2025-03-01,0.63,170,61,0.0,12
147,10,2025-04-01,0.41,98,12,0.1,6
148,11,2024-01-01,7.52,217,94,0.0,30
149,11,2024-02-01,8.48,260,71,0.4,28
150,11,2024-03-01,12.29,233,27,0.0,30
151,11,2024-04-01,12.34,171,26,0.0,30
152,11,2024-05-01,11.16,263,26,0.0,25
153,11,2024-06-01,11.38,257,34,1.2,30
154,11,2024-07-01,13.49,142,22,1.2,26
155,11,2024-08-01,1.74,227,30,0.0,28
156,11,2024-09-01,10.56,261,0,0.0,30
157,11,2024-10-01,7.03,344,12,0.0,26
158,11,2024-11-01,16.19,253,28,0.0,30
159,11,2024-12-01,10.66,0,42,0.4,25
160,11,2025-01-01,11.52,220,51,0.0,24
161,11,2025-02-01,5.89,261,42,0.0,21
162,11,2025-03-01,8.22,259,92,0.0,30
163,11,2025-04-01,6.74,294,63,0.0,30
164,11,2025-05-01,10.48,189,38,0.0,28
165,11,2025-06-01,17.67,253,32,1.2,25
166,12,2024-01-01,16.84,184,0,0.0,24
167,12,2024-02-01,19.11,238,0,0.0,21
168,12,2024-03-01,13.61,207,19,0.0,30
169,12,2024-04-01,18.49,118,52,0.4,30
170,12,2024-05-01,14.67,287,17,0.0,26
171,12,2024-06-01,18.5,107,75,0.0,28
172,12,2024-07-01,13.27,135,48,0.0,30
173,12,2024-08-01,27.21,183,61,1.2,30
174,12,2024-09-01,25.4,266,50,0.0,25
175,12,2024-10-01,17.93,182,60,1.2,30
176,12,2024-11-01,22.9,103,66,0.0,30
177,12,2024-12-01,21.42,159,34,0.0,30
178,12,2025-01-01,30.22,161,2,0.0,30
179,12,2025-02-01,34.0,115,102,0.0,30
180,12,2025-03-01,12.36,442,119,0.0,30
181,12,2025-04-01,13.72,154,11,0.0,21
182,12,2025-05-01,15.36,98,65,0.0,26
183,12,2025-06-01,25.42,254,17,1.2,20
184,13,2024-01-01,101.62,20,16,1.2,30
185,13,2024-02-01,44.13,181,23,1.2,27
186,13,2024-03-01,31.73,209,38,0.0,28
187,13,2024-04-01,62.9,81,14,0.4,22
188,13,2024-05-01,75.83,250,44,0.0,24
189,13,2024-06-01,56.11,269,28,1.2,24
190,13,2024-07-01,44.95,190,15,0.0,27
191,13,2024-08-01,46.95,260,79,1.2,30
192,13,2024-09-01,71.39,154,50,0.0,21
193,13,2024-10-01,66.52,210,47,0.0,23
194,13,2024-11-01,63.04,162,43,0.0,22
195,13,2024-12-01,45.99,218,0,0.0,26
196,13,2025-01-01,55.6,260,54,0.0,19
197,13,2025-02-01,24.84,71,25,0.0,13
198,13,2025-03-01,16.54,53,15,0.0,6
199,14,2024-01-01,8.37,78,43,0.0,27
200,14,2024-02-01,5.01,204,43,1.2,30
201,14,2024-03-01,12.11,99,3,0.0,30
202,14,2024-04-01,6.15,66,36,0.0,18
203,14,2024-05-01,5.47,190,70,0.0,30
204,14,2024-06-01,12.29,63,69,0.0,23
205,14,2024-07-01,9.24,242,40,0.0,28
206,14,2024-08-01,2.79,218,45,0.4,29
207,14,2024-09-01,10.71,112,46,0.0,22
208,14,2024-10-01,7.51,78,16,0.4,30
209,14,2024-11-01,10.09,126,44,1.2,27
210,14,2024-12-01,5.82,151,31,0.0,26
211,14,2025-01-01,10.29,244,59,0.0,23
212,14,2025-02-01,8.04,237,62,0.0,23
213,14,2025-03-01,8.56,361,6,0.0,23
214,14,2025-04-01,7.07,229,60,0.0,22
215,14,2025-05-01,4.15,278,29,0.0,30
216,14,2025-06-01,1.16,74,38,1.2,21
217,15,2024-01-01,45.31,179,68,1.2,30
218,15,2024-02-01,57.86,132,83,0.0,26
219,15,2024-03-01,47.01,231,51,0.0,29
220,15,2024-04-01,52.48,174,36,1.2,26
221,15,2024-05-01,50.75,268,4,0.0,30
222,15,2024-06-01,50.77,174,26,0.0,25
223,15,2024-07-01,53.98,57,76,0.0,24
224,15,2024-08-01,25.31,285,56,0.4,25
225,15,2024-09-01,30.06,158,0,0.0,30
226,15,2024-10-01,33.32,121,47,0.0,29
227,15,2024-11-01,50.32,169,12,0.0,27
228,15,2024-12-01,52.07,173,52,0.4,22
229,15,2025-01-01,28.84,133,109,0.0,30
230,15,2025-02-01,24.85,145,74,0.4,29
231,15,2025-03-01,58.78,84,0,0.0,26
232,15,2025-04-01,44.25,59,40,0.4,28
233,15,2025-05-01,42.4,129,60,0.0,30
234,15,2025-06-01,28.09,89,74,0.0,30
235,16,2024-01-01,6.8,152,39,0.0,30
236,16,2024-02-01,9.66,144,96,0.0,30
237,16,2024-03-01,9.96,129,58,0.0,27
238,16,2024-04-01,6.02,17,99,0.0,27
239,16,2024-05-01,4.5,194,23,0.0,30
240,16,2024-06-01,8.81,89,5,0.0,28
241,16,2024-07-01,8.2,83,0,1.2,27
242,16,2024-08-01,10.15,273,36,0.0,30
243,16,2024-09-01,7.96,174,48,0.0,30
244,16,2024-10-01,4.55,115,9,0.9,22
245,16,2024-11-01,4.47,145,40,0.0,13
246,16,2024-12-01,1.92,38,6,0.0,6
247,17,2024-01-01,31.63,242,6,0.0,22
248,17,2024-02-01,24.38,61,65,1.2,16
249,17,2024-03-01,31.3,267,0,0.4,28
250,17,2024-04-01,38.47,244,79,0.0,28
251,17,2024-05-01,66.03,84,126,0.4,30
252,17,2024-06-01,23.07,204,31,0.0,22
253,17,2024-07-01,18.52,60,33,0.0,9
254,17,2024-08-01,11.86,0,0,0.0,5
255,18,2024-01-01,1.63,202,51,0.0,30
256,18,2024-02-01,1.55,0,17,0.4,27
257,18,2024-03-01,2.14,182,49,0.4,23
258,18,2024-04-01,1.44,187,40,0.0,26
259,18,2024-05-01,2.5,131,28,0.0,29
260,18,2024-06-01,2.47,280,35,0.0,26
261,18,2024-07-01,2.21,47,43,0.0,25
262,18,2024-08-01,1.19,119,61,0.0,25
263,18,2024-09-01,1.81,117,44,0.0,25
264,18,2024-10-01,1.52,166,27,1.2,25
265,18,2024-11-01,2.27,298,32,0.4,30
266,18,2024-12-01,1.87,0,28,1.2,30
267,18,2025-01-01,1.14,255,16,0.0,21
268,18,2025-02-01,2.37,294,48,0.4,29
269,18,2025-03-01,0.79,146,29,0.0,30
270,18,2025-04-01,3.18,341,30,0.0,29
271,18,2025-05-01,1.71,155,21,1.2,30
272,18,2025-06-01,2.3,118,83,0.0,30
273,19,2025-01-01,13.65,295,84,0.4,30
274,19,2025-02-01,11.47,265,0,0.0,29
275,19,2025-03-01,11.27,141,55,0.0,30
276,19,2025-04-01,6.75,149,28,0.0,28
277,19,2025-05-01,15.63,0,65,0.0,24
278,19,2025-06-01,9.07,278,94,1.2,28
279,20,2024-01-01,71.09,88,34,0.0,29
280,20,2024-02-01,97.74,81,61,0.0,30
281,20,2024-03-01,129.3,195,51,0.0,26
282,20,2024-04-01,68.77,174,37,0.0,29
283,20,2024-05-01,132.53,133,31,0.0,30
284,20,2024-06-01,105.74,93,53,0.0,27
285,20,2024-07-01,88.07,207,67,0.0,30
286,20,2024-08-01,50.83,163,38,0.0,25
287,20,2024-09-01,66.28,151,14,0.0,30
288,20,2024-10-01,103.85,168,50,0.0,27
289,20,2024-11-01,106.24,163,0,0.0,22
290,20,2024-12-01,101.01,380,114,0.0,26
291,20,2025-01-01,97.49,370,18,0.0,30
292,20,2025-02-01,63.8,181,28,0.0,19
293,20,2025-03-01,36.37,46,36,0.0,11
294,20,2025-04-01,28.2,49,0,0.1,8
295,21,2024-01-01,85.27,248,33,1.2,30
296,21,2024-02-01,112.89,217,67,0.0,27
297,21,2024-03-01,111.84,275,0,1.2,29
298,21,2024-04-01,52.96,208,56,0.0,26
299,21,2024-05-01,61.27,31,22,0.0,14
300,21,2024-06-01,27.28,41,11,0.3,8
301,22,2024-01-01,13.78,85,20,0.4,30
302,22,2024-02-01,9.2,135,22,0.0,25
303,22,2024-03-01,12.88,157,19,0.0,17
304,22,2024-04-01,4.84,176,33,0.0,29
305,22,2024-05-01,6.11,134,84,1.2,25
306,22,2024-06-01,10.9,7,26,0.0,30
307,22,2024-07-01,10.1,177,67,0.0,30
308,22,2024-08-01,10.25,337,85,0.0,27
309,22,2024-09-01,14.26,63,25,0.0,30
310,22,2024-10-01,8.23,256,6,0.4,23
311,22,2024-11-01,15.35,68,19,1.2,26
312,22,2024-12-01,9.61,309,66,1.2,26
313,22,2025-01-01,9.06,285,62,0.4,28
314,22,2025-02-01,16.39,48,19,1.2,29
315,22,2025-03-01,9.38,55,41,0.4,22
316,22,2025-04-01,13.12,316,51,1.2,30
317,22,2025-05-01,20.15,284,38,0.0,25
318,22,2025-06-01,6.4,229,67,0.0,30
319,23,2025-01-01,92.81,302,50,0.0,30
320,23,2025-02-01,98.03,342,75,0.0,23
321,23,2025-03-01,39.47,10,39,0.0,25
322,23,2025-04-01,80.78,155,56,0.0,29
323,23,2025-05-01,45.84,137,43,0.0,30
324,23,2025-06-01,53.39,207,27,0.0,30
325,24,2024-01-01,10.09,289,72,0.0,21
326,24,2024-02-01,9.79,142,35,1.2,22
327,24,2024-03-01,8.77,187,32,0.4,27
328,24,2024-04-01,3.73,106,41,0.0,29
329,24,2024-05-01,0.0,91,0,0.0,29
330,24,2024-06-01,3.32,298,0,0.0,23
331,24,2024-07-01,4.75,203,11,1.2,30
332,24,2024-08-01,8.79,411,85,0.4,27
333,24,2024-09-01,9.37,220,4,0.0,25
334,24,2024-10-01,7.95,76,26,0.0,30
335,24,2024-11-01,8.52,250,44,0.4,30
336,24,2024-12-01,7.97,99,5,0.0,21
337,24,2025-01-01,6.23,106,51,0.6,17
338,24,2025-02-01,2.75,7,9,0.0,8
339,25,2024-10-01,26.88,247,79,0.0,26
340,25,2024-11-01,17.74,145,51,0.0,30
341,25,2024-12-01,32.5,86,39,0.0,26
342,25,2025-01-01,16.56,279,16,0.4,26
343,25,2025-02-01,19.18,132,41,0.4,27
344,25,2025-03-01,19.17,305,22,0.0,24
345,25,2025-04-01,18.32,286,49,0.0,30
346,25,2025-05-01,16.22,189,12,1.2,30
347,25,2025-06-01,11.95,95,25,0.0,25
348,26,2024-05-01,16.93,315,51,0.0,30
349,26,2024-06-01,39.33,129,37,0.0,30
350,26,2024-07-01,16.47,141,31,0.4,29
351,26,2024-08-01,47.19,130,55,1.2,23
352,26,2024-09-01,18.39,210,17,0.0,28
353,26,2024-10-01,38.25,155,1,0.0,29
354,26,2024-11-01,19.83,187,0,0.0,30
355,26,2024-12-01,24.3,121,9,0.4,30
356,26,2025-01-01,12.35,148,37,0.0,30
357,26,2025-02-01,14.21,23,76,0.0,24
358,26,2025-03-01,12.38,119,11,0.6,13
359,26,2025-04-01,4.64,0,4,0.3,7
360,27,2024-07-01,75.12,175,0,0.0,27
361,27,2024-08-01,37.64,289,12,1.2,26
362,27,2024-09-01,49.77,233,38,0.0,30
363,27,2024-10-01,30.27,205,15,0.0,30
364,27,2024-11-01,34.81,256,13,0.4,30
365,27,2024-12-01,50.61,291,28,0.0,26
366,27,2025-01-01,29.32,286,0,0.0,28
367,27,2025-02-01,34.36,230,28,0.0,26
368,27,2025-03-01,20.67,20,3,0.0,30
369,27,2025-04-01,47.58,151,51,0.0,30
370,27,2025-05-01,29.58,63,16,0.0,25
371,27,2025-06-01,51.31,0,39,0.0,23
372,28,2024-01-01,19.65,470,55,0.0,30
373,28,2024-02-01,0.0,146,0,0.0,29
374,28,2024-03-01,23.04,159,33,0.4,21
375,28,2024-04-01,13.95,170,27,0.0,25
376,28,2024-05-01,22.46,132,72,0.0,30
377,28,2024-06-01,31.64,195,14,0.0,25
378,28,2024-07-01,21.3,181,47,0.4,23
379,28,2024-08-01,26.0,307,40,1.2,30
380,28,2024-09-01,7.36,38,82,0.0,27
381,28,2024-10-01,16.76,221,26,0.0,27
382,28,2024-11-01,21.4,433,52,0.0,21
383,28,2024-12-01,19.1,161,5,0.0,30
384,28,2025-01-01,25.74,118,16,1.2,29
385,28,2025-02-01,10.21,187,14,0.0,27
386,28,2025-03-01,17.16,347,72,0.0,25
387,28,2025-04-01,11.75,160,55,0.0,23
388,28,2025-05-01,29.23,180,26,0.0,29
389,28,2025-06-01,14.39,121,20,0.0,25
390,29,2024-01-01,66.55,117,25,1.2,29
391,29,2024-02-01,29.36,218,0,0.0,23
392,29,2024-03-01,68.08,23,70,0.0,27
393,29,2024-04-01,12.87,294,21,1.2,25
394,29,2024-05-01,53.18,288,49,0.0,25
395,29,2024-06-01,65.92,256,76,0.0,30
396,29,2024-07-01,39.16,145,34,0.0,27
397,29,2024-08-01,59.52,205,49,0.4,27
398,29,2024-09-01,23.84,172,70,0.0,28
399,29,2024-10-01,35.64,256,68,0.0,23
400,29,2024-11-01,56.73,0,1,0.4,28
401,29,2024-12-01,50.17,193,13,0.4,30
402,29,2025-01-01,56.75,106,52,0.0,24
403,29,2025-02-01,63.36,186,21,0.0,18
404,29,2025-03-01,11.55,132,45,0.0,30
405,29,2025-04-01,38.65,159,23,1.2,29
406,29,2025-05-01,37.76,386,64,0.0,30
407,29,2025-06-01,22.24,317,43,0.0,26
408,30,2024-01-01,60.99,82,14,0.4,28
409,30,2024-02-01,68.25,92,75,0.0,30
410,30,2024-03-01,67.1,52,48,0.0,30
411,30,2024-04-01,29.09,218,54,0.0,19
412,30,2024-05-01,66.89,376,6,0.0,27
413,30,2024-06-01,0.0,181,28,0.0,30
414,30,2024-07-01,30.24,134,69,0.0,21
415,30,2024-08-01,56.17,49,4,1.2,25
416,30,2024-09-01,64.31,174,0,0.4,24
417,30,2024-10-01,24.62,222,43,0.0,28
418,30,2024-11-01,39.83,288,39,0.0,29
419,30,2024-12-01,43.54,63,73,0.0,29
420,30,2025-01-01,60.0,295,5,0.0,23
421,30,2025-02-01,48.03,157,33,0.4,30
422,30,2025-03-01,33.84,156,29,0.4,30
423,30,2025-04-01,62.14,308,22,0.0,25
424,30,2025-05-01,52.8,277,45,1.2,30
425,30,2025-06-01,23.83,247,54,1.2,30
426,31,2024-01-01,85.57,101,84,0.0,23
427,31,2024-02-01,88.58,152,24,0.0,28
428,31,2024-03-01,67.7,261,45,0.0,30
429,31,2024-04-01,120.03,272,0,0.0,19
430,31,2024-05-01,75.87,58,51,0.0,21
431,31,2024-06-01,62.21,130,0,0.0,25
432,31,2024-07-01,89.73,93,0,0.0,21
433,31,2024-08-01,31.81,91,1,0.0,12
434,31,2024-09-01,22.28,45,7,0.0,6
435,32,2024-01-01,100.22,332,21,0.4,28
436,32,2024-02-01,94.03,118,22,0.0,28
437,32,2024-03-01,84.78,203,34,0.0,30
438,32,2024-04-01,92.99,232,76,0.4,23
439,32,2024-05-01,49.13,100,49,0.0,30
440,32,2024-06-01,39.3,126,7,0.0,26
441,32,2024-07-01,77.03,225,0,0.0,22
442,32,2024-08-01,95.05,155,7,0.0,30
443,32,2024-09-01,77.08,235,25,0.0,23
444,32,2024-10-01,111.69,99,0,0.0,27
445,32,2024-11-01,84.65,97,44,0.0,29
446,32,2024-12-01,62.36,111,71,0.4,30
447,32,2025-01-01,115.85,203,14,1.2,30
448,32,2025-02-01,93.47,63,49,0.0,24
449,32,2025-03-01,56.47,267,35,0.0,29
450,32,2025-04-01,127.09,0,75,0.4,29
451,32,2025-05-01,45.91,191,84,0.0,27
452,32,2025-06-01,35.28,202,27,0.4,23
453,33,2024-01-01,47.22,200,0,0.0,29
454,33,2024-02-01,32.63,378,34,1.2,30
455,33,2024-03-01,126.66,110,34,0.0,22
456,33,2024-04-01,55.39,94,0,0.0,25
457,33,2024-05-01,97.68,62,37,0.4,29
458,33,2024-06-01,129.0,253,39,0.0,30
459,33,2024-07-01,85.68,168,54,0.4,29
460,33,2024-08-01,79.45,48,27,1.2,29
461,33,2024-09-01,84.14,236,32,0.0,27
462,33,2024-10-01,122.02,155,64,0.0,21
463,33,2024-11-01,85.32,114,0,0.0,30
464,33,2024-12-01,31.63,98,62,0.0,29
465,33,2025-01-01,114.2,212,6,0.4,28
466,33,2025-02-01,87.16,315,21,0.4,29
467,33,2025-03-01,85.68,169,69,1.2,26
468,33,2025-04-01,67.71,281,53,0.4,27
469,33,2025-05-01,33.74,8,0,0.0,30
470,33,2025-06-01,70.47,241,75,0.0,30
471,34,2024-01-01,6.97,246,136,1.2,30
472,34,2024-02-01,11.37,240,51,0.0,27
473,34,2024-03-01,8.41,105,51,0.0,30
474,34,2024-04-01,6.91,115,29,1.2,29
475,34,2024-05-01,7.45,209,7,0.0,23
476,34,2024-06-01,8.91,184,62,0.0,27
477,34,2024-07-01,11.7,223,26,0.0,30
478,34,2024-08-01,8.78,176,25,1.2,30
479,34,2024-09-01,9.7,191,55,0.0,22
480,34,2024-10-01,13.89,113,0,0.0,26
481,34,2024-11-01,8.98,168,67,0.0,30
482,34,2024-12-01,11.73,111,41,0.0,30
483,34,2025-01-01,8.7,205,21,0.0,30
484,34,2025-02-01,3.89,70,90,0.0,30
485,34,2025-03-01,2.88,182,49,0.0,30
486,34,2025-04-01,5.27,325,37,0.0,23
487,34,2025-05-01,12.13,162,77,0.0,30
488,34,2025-06-01,8.61,59,32,0.0,29
489,35,2024-01-01,0.93,153,87,1.2,30
490,35,2024-02-01,1.33,121,48,0.4,30
491,35,2024-03-01,1.21,255,21,0.0,30
492,35,2024-04-01,1.82,182,32,0.4,22
493,35,2024-05-01,2.32,166,27,0.0,28
494,35,2024-06-01,2.42,325,43,0.0,30
495,35,2024-07-01,2.02,156,29,0.0,26
496,35,2024-08-01,1.34,66,49,0.4,30
497,35,2024-09-01,1.75,205,0,0.0,30
498,35,2024-10-01,2.77,81,6,0.0,28
499,35,2024-11-01,1.47,243,23,0.0,26
500,35,2024-12-01,2.61,140,0,0.4,29
501,35,2025-01-01,0.63,342,70,1.2,30
502,35,2025-02-01,1.35,252,24,0.0,30
503,35,2025-03-01,2.02,117,20,0.0,24
504,35,2025-04-01,0.9,36,20,0.0,30
505,35,2025-05-01,1.6,257,62,0.4,30
506,35,2025-06-01,0.97,183,0,0.0,26
507,36,2024-01-01,32.45,41,64,0.0,26
508,36,2024-02-01,25.03,0,64,0.0,30
509,36,2024-03-01,41.2,199,45,0.0,30
510,36,2024-04-01,40.97,223,21,0.0,26
511,36,2024-05-01,28.9,215,66,0.0,23
512,36,2024-06-01,37.4,166,0,0.4,28
513,36,2024-07-01,48.0,111,29,0.0,29
514,36,2024-08-01,20.9,243,33,0.0,30
515,36,2024-09-01,30.51,152,35,0.0,23
516,36,2024-10-01,30.23,109,67,0.0,18
517,36,2024-11-01,26.11,87,60,0.0,23
518,36,2024-12-01,30.47,278,99,0.0,19
519,36,2025-01-01,39.7,130,37,1.2,28
520,36,2025-02-01,36.39,132,0,0.0,25
521,36,2025-03-01,33.42,341,31,0.0,30
522,36,2025-04-01,31.81,113,8,0.0,26
523,36,2025-05-01,28.98,129,26,1.2,30
524,36,2025-06-01,13.15,202,64,0.0,25
525,37,2024-01-01,41.36,185,48,0.4,30
526,37,2024-02-01,52.28,183,99,1.2,23
527,37,2024-03-01,14.66,202,57,0.0,30
528,37,2024-04-01,37.73,256,24,0.0,29
529,37,2024-05-01,16.01,263,26,0.4,30
530,37,2024-06-01,46.36,295,29,0.0,23
531,37,2024-07-01,45.17,231,15,1.2,30
532,37,2024-08-01,20.54,407,4,0.0,29
533,37,2024-09-01,45.63,171,79,0.0,21
534,37,2024-10-01,43.65,147,84,1.2,28
535,37,2024-11-01,43.17,239,33,0.0,26
536,37,2024-12-01,18.4,265,88,0.0,27
537,37,2025-01-01,62.97,276,18,0.0,30
538,37,2025-02-01,49.42,299,36,1.2,24
539,37,2025-03-01,34.61,59,42,0.0,20
540,37,2025-04-01,22.0,284,124,0.4,24
541,37,2025-05-01,29.3,331,57,0.0,29
542,37,2025-06-01,36.45,393,88,0.0,29
543,38,2024-01-01,7.62,177,26,0.0,25
544,38,2024-02-01,6.42,252,0,0.0,29
545,38,2024-03-01,15.12,93,20,0.0,27
546,38,2024-04-01,13.36,404,38,1.2,23
547,38,2024-05-01,5.59,154,43,0.4,23
548,38,2024-06-01,10.79,148,50,0.0,30
549,38,2024-07-01,14.56,290,30,0.0,30
550,38,2024-08-01,16.62,27,1,0.0,22
551,38,2024-09-01,13.58,63,38,0.0,30
552,38,2024-10-01,11.16,231,92,0.0,29
553,38,2024-11-01,6.01,205,0,0.0,30
554,38,2024-12-01,11.95,248,92,0.0,29
555,38,2025-01-01,9.65,132,86,0.0,19
556,38,2025-02-01,11.27,150,60,0.0,25
